time,I_750,I_800,I_850,I_900
1230,0.0201172901173,0.0230476930477,0.0399626299626,0.0442096792097
1245,0.0210537610538,0.0239027639028,0.0418189218189,0.0458563658564
1260,0.021566951567,0.0247578347578,0.0431461131461,0.0474236874237
1275,0.0223191623192,0.025974025974,0.0446146446146,0.0488922188922
1290,0.0230843230843,0.0264217264217,0.0461042661043,0.0498995448995
1305,0.0239042439042,0.0272904872905,0.0476567876568,0.051857031857
1320,0.0242516742517,0.0288507788508,0.049151959152,0.0534437784438
1335,0.0246897546898,0.0292807192807,0.049997039997,0.0547080697081
1350,0.0258349058349,0.0306619306619,0.0519724719725,0.0556415806416
1365,0.026973026973,0.031270951271,0.0537292337292,0.0576628926629
1380,0.0275835275835,0.0324268324268,0.0551862951863,0.0591891441891
1395,0.0284093684094,0.0333910533911,0.0568342768343,0.0606499056499
1410,0.0292722092722,0.0347341547342,0.0583564583565,0.0623043623044
1425,0.0297598697599,0.0352136752137,0.0597232397232,0.0644871794872
1440,0.0308791208791,0.0363492063492,0.0618274318274,0.0663614163614
1455,0.0321989121989,0.0376201576202,0.0635623635624,0.0679864579865
1470,0.032957042957,0.0381585081585,0.0650205350205,0.0688483738484
1485,0.0334817034817,0.039432049432,0.0662370962371,0.0705228105228
1500,0.0345258445258,0.0409564509565,0.0684615384615,0.0724297924298
1515,0.0357246457246,0.0421878121878,0.0700429200429,0.074580974581
1530,0.0363033263033,0.0432141932142,0.0719728419728,0.0761832611833
1545,0.0375731675732,0.0443456543457,0.0740566840567,0.0780819180819
1560,0.0381551781552,0.0457172457172,0.075932955933,0.079657009657
1575,0.0391963591964,0.0465386465386,0.0778858178858,0.0812476412476
1590,0.0405124505125,0.0482454582455,0.078973988974,0.0828832278832
1605,0.0409512709513,0.0490424390424,0.080878010878,0.0846936396936
1620,0.0421245421245,0.0504680504681,0.0833618233618,0.0870024420024
1635,0.043263033263,0.0511344211344,0.0846712546713,0.0887534687535
1650,0.0437791837792,0.0528878528879,0.0865386465386,0.0904967254967
1665,0.0446416546417,0.0542305842306,0.0877755577756,0.0922261072261
1680,0.0458870758871,0.055125985126,0.0902664002664,0.0942834942835
1695,0.0471073371073,0.0561997261997,0.0911854811855,0.0959779109779
1710,0.0482661782662,0.0570980870981,0.0936304436304,0.0975641025641
1725,0.049511969512,0.0592962592963,0.0958693158693,0.0998212898213
1740,0.0503903503904,0.0601909201909,0.0981640581641,0.102034632035
1755,0.0517567617568,0.0619154919155,0.100246790247,0.103462093462
1770,0.0531616531617,0.0631087431087,0.102384282384,0.10641969142
1785,0.0544044844045,0.0648562548563,0.104196914197,0.108091908092
1800,0.0552488252488,0.0658471158471,0.106416916417,0.109762459762
1815,0.0563432863433,0.0671776371776,0.108113738114,0.112425907426
1830,0.0580985680986,0.069111999112,0.11082954083,0.114667554668
1845,0.0592337292337,0.0702553002553,0.112957782958,0.11690975691
1860,0.0605916305916,0.0728016428016,0.115634365634,0.11959040959
1875,0.0618540718541,0.0740071040071,0.118386428386,0.121418581419
1890,0.0633451733452,0.0753598253598,0.120382210382,0.123835608836
1905,0.0643704443704,0.0764746364746,0.122237762238,0.125711510712
1920,0.0657912457912,0.0782617382617,0.12514004514,0.128005328005
1935,0.0674262774263,0.0801328301328,0.127816997817,0.130507270507
1950,0.0687878787879,0.0819991119991,0.130505420505,0.133781773782
1965,0.0705191105191,0.083421023421,0.133026233026,0.135869130869
1980,0.0721896621897,0.085409035409,0.135754985755,0.13826007326
1995,0.0733477633478,0.0873322973323,0.138353868354,0.14071040071
2010,0.0752232952233,0.0890531690532,0.141303881304,0.143796758797
2025,0.0764261664262,0.0908258408258,0.143638213638,0.14697968698
2040,0.0780278980279,0.0931031931032,0.146355126355,0.149039294039
2055,0.0791441891442,0.0948137048137,0.149066859067,0.151714396714
2070,0.0813190513191,0.0956129056129,0.151567321567,0.154058164058
2085,0.0827032227032,0.0976645576646,0.153651533652,0.156889221889
2100,0.0834961334961,0.0995482295482,0.156398046398,0.158858363858
2115,0.0853605653606,0.101282421282,0.160126540127,0.161371961372
2130,0.0870707070707,0.103016983017,0.162772782773,0.164879009879
