time,V_tc
4869.9908,-1.0138e-05
4879.9902,-1.0366e-05
4889.9906,-9.985e-06
4899.9903,-1.0036e-05
4909.9901,-9.985e-06
4919.9909,-9.694e-06
4929.9906,-9.947e-06
4939.991,-9.884e-06
4949.9901,-9.605e-06
4959.9902,-9.402e-06
4969.991,-9.706e-06
4979.9907,-9.579e-06
4989.9912,-9.605e-06
4999.9908,-9.719e-06
5009.9899,-9.744e-06
5019.9906,-9.998e-06
5029.9903,-9.617e-06
5039.9901,-9.567e-06
5049.9905,-9.478e-06
5059.9898,-9.516e-06
5069.9904,-9.478e-06
5079.9904,-9.541e-06
5089.9906,-9.313e-06
5099.9907,-9.668e-06
5109.9907,-9.567e-06
5119.99,-9.681e-06
5129.9906,-9.503e-06
5139.9902,-9.491e-06
5149.9897,-9.554e-06
5159.9902,-9.897e-06
5169.9896,-9.249e-06
5179.9896,-9.148e-06
5189.9903,-9.478e-06
5199.9895,-9.275e-06
5209.9905,-9.288e-06
5219.99,-9.579e-06
5229.9895,-9.592e-06
5239.9902,-9.199e-06
5249.9895,-9.541e-06
5259.9897,-9.249e-06
5269.9895,-9.465e-06
5279.9894,-9.11e-06
5289.9896,-8.932e-06
5299.9899,-8.983e-06
5309.9896,-9.046e-06
5319.9899,-9.338e-06
